SN,REQUEST,CNT<5000,CNT5000-10000,CNT10000-25000,CNT25000-200000,CNT200000-1000000,CNT1000000-10000000,CNT10000000-5000000000,amt<5000,AMT5000-10000,AMT10000-25000,AMT25000-200000,AMT200000-1000000,AMT1000000-10000000,AMT1000000-5000000000
1,"DEPOSITS","36","0","0","0","0","0","0","11230.0","0.0","0.0","0.0","0.0","0.0","0"
2,"WITHDRAWAL","10","2","1","0","0","0","0","4900.0","15000.0","10000.0","0.0","0.0","0.0","0"
3,"BILL PAYMENTS","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0"
4,"TRANSFER(A/C to A/C)","2","0","0","0","0","0","0","400.0","0.0","0.0","0.0","0.0","0.0","0"
5,"TOPUP","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0"
6,"RECHARGE CARD","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0"
7,"INTERBANK TRANSFER","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0"
8,"INTERBANK DEPOSIT","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0"
